"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"ADAMCZYK Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"CIUPKA Bogusław Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KWIATKOWSKI Krzysztof - KWW KRZYSZTOF KWIATKOWSKI - PAKT SENACKI"
2;"Zespół Szkolno-Przedszkolny w Jeżowie (sala nr 1 w Szkole Podstawowej), ul. Wojska Polskiego 2, 95-047 Jeżów";102104;"gm. Jeżów";"brzeziński";"łódzkie";1;1;139;32;102
3;"Zespół Szkolno-Przedszkolny w Jeżowie (sala nr 5 w Szkole Podstawowej), ul. Wojska Polskiego 2, 95-047 Jeżów";102104;"gm. Jeżów";"brzeziński";"łódzkie";1;1;118;40;107
4;"Dom Pomocy Społecznej w Dąbrowie, Dąbrowa 1, 95-047 Jeżów";102104;"gm. Jeżów";"brzeziński";"łódzkie";1;1;126;28;40
5;"Świetlica Wiejska w Przybyszycach, Przybyszyce 35, 95-047 Jeżów";102104;"gm. Jeżów";"brzeziński";"łódzkie";1;1;52;17;53
6;"Urząd Miejski w Jeżowie (sala konferencyjna), ul. Kwiatowa 1, 95-047 Jeżów";102104;"gm. Jeżów";"brzeziński";"łódzkie";1;1;105;39;63
7;"Świetlica Wiejska w Górze, Góra 21, 95-047 Jeżów";102104;"gm. Jeżów";"brzeziński";"łódzkie";1;1;103;17;67
8;"Zespół Szkolno-Przedszkolny w Jeżowie (sala Nr 2 w Szkole Podstawowej), ul. Wojska Polskiego 2, 95-047 Jeżów";102104;"gm. Jeżów";"brzeziński";"łódzkie";1;1;207;23;57
9;"Sala OSP w Rewicy, Rewica 24, 95-047 Jeżów";102104;"gm. Jeżów";"brzeziński";"łódzkie";1;1;66;10;21
10;"Dom Pomocy Społecznej w Dąbrowie, Dąbrowa 1, 95-047 Jeżów";102104;"gm. Jeżów";"brzeziński";"łódzkie";1;1;48;1;0
1;"była Szkoła Podstawowa w Zacywilkach, Zacywilki 5, 95-063 Rogów";102105;"gm. Rogów";"brzeziński";"łódzkie";1;1;113;28;35
2;"Szkoła Podstawowa w Przyłęku Dużym, Przyłęk Duży 49, 95-063 Rogów";102105;"gm. Rogów";"brzeziński";"łódzkie";1;1;187;45;104
3;"Urząd Gminy w Rogowie (sala konferencyjna), ul. Żeromskiego 23, 95-063 Rogów";102105;"gm. Rogów";"brzeziński";"łódzkie";1;1;253;60;216
4;"Szkoła Podstawowa w Rogowie, ul. Szkolna 4, 95-063 Rogów";102105;"gm. Rogów";"brzeziński";"łódzkie";1;1;215;80;232
5;"Ochotnicza Straż Pożarna w Rogowie, ul. Strażacka 4, 95-063 Rogów";102105;"gm. Rogów";"brzeziński";"łódzkie";1;1;112;35;193
6;"Gminna Biblioteka Publiczna w Rogowie, ul. Wojska Polskiego 26, 95-063 Rogów";102105;"gm. Rogów";"brzeziński";"łódzkie";1;1;186;48;148
7;"Szkoła Podstawowa w Wągrach, Wągry 87, 95-063 Rogów";102105;"gm. Rogów";"brzeziński";"łódzkie";1;1;193;47;146
72;"Szkoła Podstawowa nr 142 im. Zawiszy Czarnego, ul. Łupkowa 6, 91-527 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;318;116;445
79;"Szkoła Podstawowa nr 10 im. Władysława Broniewskiego, ul. Stanisława Przybyszewskiego 15/21, 93-188 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;320;154;720
80;"Zespół Szkół Politechnicznych im. Komisji Edukacji Narodowej w Łodzi, ul. Aleje Politechniki 38, 93-590 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;218;62;456
81;"Zespół Szkół Samochodowych i Mechatronicznych im. Generała Stanisława Maczka, ul. Stanisława Przybyszewskiego 73/75, 93-126 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;279;193;713
82;"Zespół Szkół Samochodowych i Mechatronicznych im. Generała Stanisława Maczka, ul. Stanisława Przybyszewskiego 73/75, 93-126 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;260;101;652
83;"Centrum Usług Wspólnych Oświaty w Łodzi, ul. Kaliska 25/27, 93-130 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;322;193;792
84;"Szkoła Podstawowa nr 10 im. Władysława Broniewskiego, ul. Stanisława Przybyszewskiego 15/21, 93-188 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;261;106;661
85;"Specjalny Ośrodek Szkolno-Wychowawczy nr 1 im. Janusza Korczaka, ul. Siedlecka 7/21, 93-138 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;305;115;821
86;"Zespół Szkół Politechnicznych im. Komisji Edukacji Narodowej w Łodzi, ul. Aleje Politechniki 38, 93-590 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;311;142;856
