"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KALISZ Beata - KW BEZPARTYJNI SAMORZĄDOWCY";"PASOŃ Stanisław Wojciech - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DURLAK Wiktor Michał - KW PRAWO I SPRAWIEDLIWOŚĆ";"JAKUBOWSKI Jarosław Jerzy - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ"
22;"Szkoła Podstawowa, Świniarsko 132, 33-395 Chełmiec";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;78;203;449;77
23;"Szkoła Podstawowa, Trzetrzewina 193, 33-395 Chełmiec";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;48;137;630;117
24;"Szkoła Podstawowa, Marcinkowice 132, 33-393 Marcinkowice";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;13;91;171;30
25;"Szkoła Podstawowa, Wielogłowy 56, 33-311 Wielogłowy";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;51;203;400;111
26;"Szkoła Podstawowa, Paszyn 410, 33-326 Mogilno";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;37;80;285;53
27;"Świetlica Wiejska, Klimkówka 40, 33-311 Wielogłowy";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;26;64;132;30
28;"Dom Pomocy Społecznej, Klęczany 169, 33-394 Klęczany";121002;"gm. Chełmiec";"nowosądecki";"małopolskie";1;1;0;1;31;1
1;"Wiejski Dom Kultury, Rożnów 638, 33-316 Rożnów";121003;"gm. Gródek nad Dunajcem";"nowosądecki";"małopolskie";1;1;68;268;627;132
2;"Szkoła Podstawowa, Roztoka-Brzeziny 211, 33-316 Rożnów";121003;"gm. Gródek nad Dunajcem";"nowosądecki";"małopolskie";1;1;57;137;324;66
3;"Wiejski Dom Kultury, Bartkowa-Posadowa 375, 33-318 Gródek nad Dunajcem";121003;"gm. Gródek nad Dunajcem";"nowosądecki";"małopolskie";1;1;57;170;439;74
4;"Szkoła Podstawowa, Przydonica 24, 33-318 Gródek nad Dunajcem";121003;"gm. Gródek nad Dunajcem";"nowosądecki";"małopolskie";1;1;37;94;486;51
5;"Szkoła Podstawowa, Sienna 27, 33-318 Gródek nad Dunajcem";121003;"gm. Gródek nad Dunajcem";"nowosądecki";"małopolskie";1;1;32;80;226;43
6;"Zespół Szkół, Gródek nad Dunajcem 195, 33-318 Gródek nad Dunajcem";121003;"gm. Gródek nad Dunajcem";"nowosądecki";"małopolskie";1;1;39;137;218;51
7;"Szkoła Podstawowa im. Ks. Jerzego Popiełuszki, Jelna 95, 33-318 Gródek nad Dunajcem";121003;"gm. Gródek nad Dunajcem";"nowosądecki";"małopolskie";1;1;19;76;249;23
8;"Szkoła Podstawowa, Lipie 11, 33-318 Gródek nad Dunajcem";121003;"gm. Gródek nad Dunajcem";"nowosądecki";"małopolskie";1;1;19;45;149;18
9;"Szkoła Podstawowa im. Jana Pawła II, Podole-Górowa 158, 33-318 Gródek nad Dunajcem";121003;"gm. Gródek nad Dunajcem";"nowosądecki";"małopolskie";1;1;21;66;256;36
10;"Dom Pomocy Społecznej, Zbyszyce 12, 33-318 Gródek nad Dunajcem";121003;"gm. Gródek nad Dunajcem";"nowosądecki";"małopolskie";1;1;1;0;40;0
1;"Zespół Szkolno – Przedszkolny, Biała Niżna 495, 33-330 Grybów";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;88;296;957;209
2;"Szkoła Podstawowa, Binczarowa 26, 33-332 Florynka";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;48;78;514;85
3;"Szkoła Podstawowa, Cieniawa 140, 33-333 Ptaszkowa";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;51;133;654;91
4;"Szkoła Podstawowa, Florynka 64, 33-332 Florynka";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;37;99;604;97
5;"Szkoła Podstawowa, Gródek 38, 33-331 Stróże";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;18;59;486;66
6;"Zespół Szkolno – Przedszkolny, Kąclowa 280, 33-330 Grybów";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;42;111;1054;155
7;"Zespół Szkolno – Przedszkolny, Krużlowa Wyżna 205, 33-325 Krużlowa Wyżna";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;46;90;604;123
8;"Szkoła Podstawowa, Polna 30, 33-331 Stróże";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;34;60;427;71
9;"Zespół Szkolno – Przedszkolny Nr 1, Ptaszkowa 406, 33-333 Ptaszkowa";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;63;208;752;131
10;"Zespół Szkolno – Przedszkolny, Ptaszkowa 495, 33-333 Ptaszkowa";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;64;113;516;62
11;"Warsztat Terapii Zajęciowej, Siołkowa 31, 33-330 Grybów";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;74;169;828;141
12;"Szkoła Podstawowa, Stara Wieś 162, 33-325 Krużlowa Wyżna";121004;"gm. Grybów";"nowosądecki";"małopolskie";1;1;32;69;397;75
