"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CICHOŃ Zbigniew Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"FEDOROWICZ Jerzy Feliks - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
318;"Samorządowe Przedszkole Nr 177, os. Osiedle Kombatantów 13, 31-630 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;564;702
319;"Klub Kuźnia Ośrodka Kultury im. C. K. Norwida, os. Osiedle Złotego Wieku 14, 31-616 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;511;809
320;"Klub Kuźnia Ośrodka Kultury im. C. K. Norwida, os. Osiedle Złotego Wieku 14, 31-616 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;438;566
321;"Szkoła Podstawowa Nr 85, os. Osiedle Złotego Wieku 4, 31-615 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;398;1061
322;"Szkoła Podstawowa Nr 85, os. Osiedle Złotego Wieku 4, 31-615 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;510;655
323;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 77, os. Osiedle Złotego Wieku 36, 31-618 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;427;645
324;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 77, os. Osiedle Złotego Wieku 36, 31-618 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;544;978
325;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 144, os. Osiedle Bohaterów Września 13, 31-620 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;408;551
326;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 144, os. Osiedle Bohaterów Września 13, 31-620 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;432;559
327;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 144, os. Osiedle Bohaterów Września 13, 31-620 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;419;782
328;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 144, os. Osiedle Bohaterów Września 13, 31-620 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;411;576
329;"Szkoła Podstawowa Nr 89, os. Osiedle Piastów 34a, 31-624 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;459;755
330;"Szkoła Podstawowa Nr 89, os. Osiedle Piastów 34a, 31-624 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;531;595
331;"Szkoła Podstawowa Nr 89, os. Osiedle Piastów 34a, 31-624 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;463;701
332;"Szkoła Podstawowa Nr 89, os. Osiedle Piastów 34a, 31-624 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;561;689
333;"Publiczne Salezjańskie Liceum Ogólnokształcące, os. Osiedle Piastów 34, 31-624 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;569;889
334;"Publiczne Salezjańskie Liceum Ogólnokształcące, os. Osiedle Piastów 34, 31-624 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;472;1081
335;"Publiczne Salezjańskie Liceum Ogólnokształcące, os. Osiedle Piastów 34, 31-624 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;495;831
336;"Zespół Szkół Zawodowych Huty im. T. Sendzimira, os. Osiedle Złotej Jesieni 2, 31-826 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;361;842
337;"Zespół Szkół Zawodowych Huty im. T. Sendzimira, os. Osiedle Złotej Jesieni 2, 31-826 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;340;391
338;"Szkoła Podstawowa Nr 101, os. Osiedle Jagiellońskie 9, 31-832 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;462;541
339;"Szkoła Podstawowa Nr 101, os. Osiedle Jagiellońskie 9, 31-832 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;418;472
340;"Szkoła Podstawowa Nr 101, os. Osiedle Jagiellońskie 9, 31-832 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;497;601
341;"Szkoła Podstawowa Nr 101, os. Osiedle Jagiellońskie 9, 31-832 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;354;464
342;"III Liceum Ogólnokształcące, os. Osiedle Wysokie 6, 31-818 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;629;813
343;"Szkoła Podstawowa Nr 104, os. Osiedle Wysokie 7, 31-819 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;448;618
344;"Szkoła Podstawowa Nr 104, os. Osiedle Wysokie 7, 31-819 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;305;503
345;"Szkoła Podstawowa Nr 82, os. Osiedle Kalinowe 17, 31-814 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;467;563
346;"Szkoła Podstawowa Nr 82, os. Osiedle Kalinowe 17, 31-814 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;544;579
347;"Szkoła Podstawowa Nr 92, os. Osiedle Józefa Strusia 19, 31-810 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;384;464
348;"Szkoła Podstawowa Nr 92, os. Osiedle Józefa Strusia 19, 31-810 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;404;440
349;"Publiczna Szkoła Podstawowa Sióstr Salezjanek im. Błogosławionej Laury Vicuna, os. Osiedle Kościuszkowskie 7, 31-858 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;617;859
350;"Szkoła Podstawowa Nr 100, os. Osiedle Albertyńskie 36, 31-855 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;313;477
351;"Szkoła Podstawowa Nr 100, os. Osiedle Albertyńskie 36, 31-855 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;411;469
352;"Szkoła Podstawowa Nr 100, os. Osiedle Albertyńskie 36, 31-855 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;321;764
353;"Szkoła Podstawowa im. Bogdana Jańskiego w Krakowie, os. Osiedle Niepodległości 19, 31-862 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;282;444
354;"Szkoła Podstawowa im. Bogdana Jańskiego w Krakowie, os. Osiedle Niepodległości 19, 31-862 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;364;717
355;"Szkoła Podstawowa Nr 86, os. Osiedle Jagiellońskie 18, 31-833 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;452;536
356;"Szkoła Podstawowa Nr 86, os. Osiedle Jagiellońskie 18, 31-833 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;348;414
357;"Szkoła Podstawowa Nr 86, os. Osiedle Jagiellońskie 18, 31-833 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;310;440
358;"Zespół Szkół Gastronomicznych Nr 1, os. Osiedle Złotej Jesieni 16, 31-828 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;412;580
359;"Zespół Szkół Gastronomicznych Nr 1, os. Osiedle Złotej Jesieni 16, 31-828 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;319;553
360;"Oddziały Szkoły Podstawowej Nr 129, os. Osiedle Na Stoku 34, 31-706 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;460;647
361;"Oddziały Szkoły Podstawowej Nr 129, os. Osiedle Na Stoku 34, 31-706 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;424;531
362;"Oddziały Szkoły Podstawowej Nr 129, os. Osiedle Na Stoku 34, 31-706 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;511;620
363;"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 98, os. Osiedle Na Stoku 52, 31-708 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;481;498
364;"Szkoła Podstawowa Nr 129, os. Osiedle Na Wzgórzach 13a, 31-722 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;510;528
365;"Szkoła Podstawowa Nr 129, os. Osiedle Na Wzgórzach 13a, 31-722 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;640;719
366;"Miejski Ośrodek Pomocy Społecznej w Krakowie, 9 Program Aktywności Lokalnej, ul. Gustawa Morcinka 40, 31-762 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;194;320
