"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MAŁODZIŃSKI Mateusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"KLICH Bogdan Adam - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
194;"Szkoła Podstawowa Nr 97, ul. Doktora Judyma 10, 30-436 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;368;869
195;"Szkoła Podstawowa Nr 97, ul. Doktora Judyma 10, 30-436 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;337;886
196;"Szkoła Podstawowa Nr 14, ul. Profesora Wojciecha Marii Bartla 29, 30-389 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;322;1213
197;"Szkoła Podstawowa Nr 14, ul. Profesora Wojciecha Marii Bartla 29, 30-389 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;460;1382
198;"Szkoła Podstawowa Nr 134, ul. Kłuszyńska 46, 30-499 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;461;1237
199;"Szkoła Podstawowa Nr 134, ul. Kłuszyńska 46, 30-449 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;406;585
200;"Oddziały Szkoły Podstawowej Nr 97, ul. Armii ""Kraków"" 76, 30-433 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;440;995
201;"Szkoła Podstawowa Nr 43, ul. Myślenicka 112, 30-698 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;565;902
202;"Szkoła Podstawowa Nr 43, ul. Myślenicka 112, 30-698 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;497;1065
203;"Zespół Szkolno-Przedszkolny Nr 13, ul. Mirtowa 2, 30-698 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;403;644
204;"Centrum Kultury Podgórza Klub Wróblowice, ul. Henryka Niewodniczańskiego 74, 30-698 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;420;466
205;"Centrum Kultury Podgórza Klub Zbydniowice, ul. Matematyków Krakowskich 102, 30-698 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;213;176
206;"Szkoła Podstawowa ""Rajska Szkoła"", ul. Tuchowska 113, 30-698 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;279;481
207;"Centrum Kultury Podgórza Klub Soboniowice, ul. Jerzego Kuryłowicza 115, 30-699 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;253;350
208;"Publiczne Rajskie Przedszkole, ul. Jana Izydora Sztaudyngera 5, 30-694 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;207;420
209;"Samorządowe Przedszkole Nr 33, ul. Rżącka 1, 30-687 Kraków";126101;"m. Kraków";"Kraków";"małopolskie";1;1;481;847
