"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"CHMIELEWSKI Łukasz - KW PRAWO I SPRAWIEDLIWOŚĆ";"FRANKIEWICZ Zygmunt Mieczysław - KWW ZYGMUNT FRANKIEWICZ - PAKT SENACKI"
26;"Zespół Szkół Techniczno-Usługowych im. Jana Pawła II, ul. Pokoju 14, 42-600 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;431;769
27;"Dom Pomocy Społecznej dla Osób Przewlekle Psychicznie Chorych prowadzony przez ZG. SS. Boromeuszek, ul. Gliwicka 22, 42-600 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;7;9
28;"Szpital Św. Kamila Zakonu Ojców Kamilianów, ul. Bytomska 22, 42-606 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;12;7
29;"Areszt Śledczy Tarnowskie Góry, ul. Opolska 17a, 42-600 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;74;190
30;"Dom Pomocy Społecznej ""Przyjażń"", ul. Włoska 24, 42-612 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;27;14
31;"Wielospecjalistyczny Szpital Powiatowy S. A. im. dr B. Hagera w Tarnowskich Górach, ul. Pyskowicka 47-51, 42-612 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;36;28
32;"Samodzielny Publiczny Zakład Opieki Zdrowotnej ""REPTY"" Górnośląskie Centrum Rehabilitacji im. gen. J. Ziętka, ul. Jana Śniadeckiego 1, 42-612 Tarnowskie Góry";241304;"m. Tarnowskie Góry";"tarnogórski";"śląskie";1;1;221;116
1;"Sala posiedzeń Rady Gminy, ul. Główna 5, 42-693 Krupski Młyn";241305;"gm. Krupski Młyn";"tarnogórski";"śląskie";1;1;203;263
2;"Gminny Ośrodek Kultury, Sportu i Rekreacji, ul. Zawadzkiego 3, 42-693 Krupski Młyn";241305;"gm. Krupski Młyn";"tarnogórski";"śląskie";1;1;126;235
3;"Świetlica Osiedlowa, Ziętek 2, 42-693 Krupski Młyn";241305;"gm. Krupski Młyn";"tarnogórski";"śląskie";1;1;144;130
4;"Szkoła Podstawowa, Potępa ul. Tarnogórska 12, 42-693 Krupski Młyn";241305;"gm. Krupski Młyn";"tarnogórski";"śląskie";1;1;202;360
1;"Niepubliczna Szkoła Podstawowa w Pyrzowicach, Pyrzowice ul. Wolności 46, 42-625 Ożarowice";241306;"gm. Ożarowice";"tarnogórski";"śląskie";1;1;174;518
2;"Szkoła Podstawowa w Zendku, Zendek ul. Główna 126, 42-625 Ożarowice";241306;"gm. Ożarowice";"tarnogórski";"śląskie";1;1;345;327
3;"Szkoła Podstawowa w Ożarowicach, ul. Szkolna 10, 42-625 Ożarowice";241306;"gm. Ożarowice";"tarnogórski";"śląskie";1;1;433;618
4;"Szkoła Podstawowa w Tąpkowicach, ul. Kopernika 2, 42-624 Tąpkowice";241306;"gm. Ożarowice";"tarnogórski";"śląskie";1;1;441;834
1;"Zespół Szkół Centrum Kształcenia Rolniczego, ul. Morcinka 9, 42-620 Nakło Śląskie";241307;"gm. Świerklaniec";"tarnogórski";"śląskie";1;1;266;585
2;"Gminny Ośrodek Kultury, ul. Główna 52, 42-620 Nakło Śląskie";241307;"gm. Świerklaniec";"tarnogórski";"śląskie";1;1;479;857
