"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"KOWALIK Rafał - KW BEZPARTYJNI SAMORZĄDOWCY";"CHRÓŚCIKOWSKI Jerzy Mieczysław - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZAGDAŃSKI Dariusz Zbigniew - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LIPIEC Marek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"POZNAŃSKI Marek - KW NOWA DEMOKRACJA - TAK";"BRATKOWSKI Arkadiusz Tomasz - KWW ZAMOJSZCZYZNY"
1;"Zespół Szkół w Turobinie, ul. Józefa Piłsudskiego 34, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;28;254;35;100;4;35
2;"Urząd Gminy w Turobinie, ul. Rynek 4, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;23;344;36;33;8;40
3;"Dzienny Dom Seniora+, Tarnawa Duża 24, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;8;111;20;19;7;22
4;"Remiza OSP w Guzówce-Kolonii, Guzówka-Kolonia 81, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;13;164;24;22;2;30
5;"Remiza OSP w Żabnie, Żabno 44B, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;19;171;15;22;4;30
6;"Szkoła Podstawowa w Gródkach Drugich, Gródki Drugie 100, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;8;137;33;56;8;49
7;"Remiza OSP w Hucie Turobińskiej, Huta Turobińska 35, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;14;109;15;13;2;6
8;"Szkoła Podstawowa w Czernięcinie Głównym, Czernięcin Główny 159, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;23;213;30;23;3;28
9;"Remiza OSP, Czernięcin Poduchowny 64, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;28;154;17;20;2;25
10;"Remiza OSP w Nowej Wsi, Nowa Wieś 5, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;15;82;15;16;1;6
11;"Remiza OSP, Przedmieście Szczebrzeszyńskie 112, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;13;116;18;15;0;4
12;"Remiza OSP, Żurawie 138, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;25;59;12;21;1;9
13;"Remiza OSP, Tokary 72, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;6;119;13;9;3;17
14;"Zakład Pielęgnacyjno-Opiekuńczy, Tokary 31, 23-465 Turobin";60214;"gm. Turobin";"biłgorajski";"lubelskie";1;1;1;1;1;0;0;2
1;"Miejskie Przedszkole Nr 3, ul. Grotthusów 1, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;26;278;45;98;189;61
2;"Szkoła Podstawowa Nr 2, ul. Żeromskiego 29, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;48;463;107;297;305;101
3;"Świetlica osiedlowa Osiedla ""Jagiellońskie"", ul. Unii Horodelskiej 19, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;18;230;43;109;137;55
4;"Szkoła Podstawowa Nr 3, ul. Zamojska 16, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;26;235;37;125;137;38
5;"Powiatowy Zespół Placówek Szkolno-Wychowawczych, ul. Zamojska 16 A, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;21;172;31;140;130;42
6;"Agencja Restrukturyzacji i Modernizacji Rolnictwa Biuro Powiatowe, ul. Nowa 14, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;37;361;56;220;288;76
7;"Dom Nauczyciela, ul. 3 Maja 37, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;22;179;25;121;105;45
8;"Hrubieszowski Dom Kultury, ul. 3 Maja 7, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;19;192;32;111;126;43
9;"Przedsiębiorstwo Gospodarki Komunalnej i Mieszkaniowej, ul. Krucza 20, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;16;179;37;129;124;33
10;"Spółdzielczy Klub Kultury ""Słoneczko"", ul. Polna 19, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;23;121;26;123;139;38
11;"Miejskie Przedszkole Nr 5, ul. Listopadowa 6, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;19;171;17;118;124;31
12;"Miejskie Przedszkole Nr 1, ul. Józefa Piłsudskiego 59, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;19;206;31;118;122;34
13;"Szkoła Podstawowa nr 1, ul. Listopadowa 12, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;11;209;24;124;149;38
14;"Samodzielny Publiczny Zespół Opieki Zdrowotnej, ul. Józefa Piłsudskiego 11, 22-500 Hrubieszów";60401;"m. Hrubieszów";"hrubieszowski";"lubelskie";1;1;12;45;3;14;6;13
