"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PĘK Marek - KW PRAWO I SPRAWIEDLIWOŚĆ";"MAŁODOBRY Grzegorz Franciszek - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"OZDOBA Wojciech Piotr - KW NOWA DEMOKRACJA - TAK";"BATOR Wiesław Adam - KW WIS"
3;"Szkoła Podstawowa w Gaju, Gaj ul. Szkolna 73, 32-031 Mogilany";120609;"gm. Mogilany";"krakowski";"małopolskie";1;1;517;574;68;102
4;"Szkoła Podstawowa im. Marii Konopnickiej w Konarach, Konary ul. Szkolna 13, 32-031 Mogilany";120609;"gm. Mogilany";"krakowski";"małopolskie";1;1;328;245;30;64
5;"Szkoła Podstawowa w Libertowie, Libertów ul. Jana Pawła II 43, 30-444 Kraków 55";120609;"gm. Mogilany";"krakowski";"małopolskie";1;1;566;1073;68;105
6;"Sala narad w UG Mogilany, rynek Rynek 2, 32-031 Mogilany";120609;"gm. Mogilany";"krakowski";"małopolskie";1;1;440;574;44;86
7;"Szkoła Podstawowa we Włosani, Włosań ul. Królowej Polski 142, 32-031 Mogilany";120609;"gm. Mogilany";"krakowski";"małopolskie";1;1;416;378;36;72
8;"Przedszkole Samorządowe w Mogilanach, ul. Szkolna 1, 32-031 Mogilany";120609;"gm. Mogilany";"krakowski";"małopolskie";1;1;342;550;52;72
9;"Świetlica wiejska w Kulerzowie, Kulerzów 20, 32-031 Mogilany";120609;"gm. Mogilany";"krakowski";"małopolskie";1;1;93;36;13;13
10;"Szkoła Podstawowa im. Św. Jadwigi Królowej w Lusinie, Lusina ul. Zdrojowa 68, 30-698 Kraków";120609;"gm. Mogilany";"krakowski";"małopolskie";1;1;303;338;38;55
11;"Dom Pomocy Społecznej Bonifraterska Fundacja Dobroczynna w Konarach, Konary ul. Bonifraterska 11, 32-031 Mogilany";120609;"gm. Mogilany";"krakowski";"małopolskie";1;1;17;3;0;1
1;"Remiza Ochotniczej Straży Pożarnej w Skale, ul. Krakowska 34, 32-043 Skała";120610;"gm. Skała";"krakowski";"małopolskie";1;1;616;468;61;80
2;"Szkoła Podstawowa Nr 1 w Skale, ul. Topolowa 25, 32-043 Skała";120610;"gm. Skała";"krakowski";"małopolskie";1;1;561;454;70;84
3;"Szkoła Podstawowa w Minodze, Minoga 18, 32-046 Minoga";120610;"gm. Skała";"krakowski";"małopolskie";1;1;217;184;34;36
4;"Remiza Ochotniczej Straży Pożarnej w Smardzowicach, ul. Kościelna 2, 32-077 Smardzowice";120610;"gm. Skała";"krakowski";"małopolskie";1;1;417;352;46;53
5;"Remiza Ochotniczej Straży Pożarnej w Barbarce, Barbarka 16, 32-046 Minoga";120610;"gm. Skała";"krakowski";"małopolskie";1;1;71;37;5;11
6;"Szkoła Podstawowa w Szczodrkowicach, Szczodrkowice 3, 32-043 Skała";120610;"gm. Skała";"krakowski";"małopolskie";1;1;252;173;21;34
7;"Szkoła Podstawowa w Cianowicach, Cianowice ul. Szkolna 30, 32-043 Skała";120610;"gm. Skała";"krakowski";"małopolskie";1;1;385;343;45;80
8;"Remiza Ochotniczej Straży Pożarnej w Nowej Wsi, Nowa Wieś 42, 32-046 Minoga";120610;"gm. Skała";"krakowski";"małopolskie";1;1;115;96;16;15
9;"Remiza Ochotniczej Straży Pożarnej w Przybysławicach, Przybysławice 40, 32-046 Minoga";120610;"gm. Skała";"krakowski";"małopolskie";1;1;85;40;13;18
10;"Remiza Ochotniczej Straży Pożarnej w Rzeplinie, Rzeplin 123, 32-046 Minoga";120610;"gm. Skała";"krakowski";"małopolskie";1;1;177;100;7;19
11;"Remiza Ochotniczej Straży Pożarnej w Sobiesękach, Sobiesęki 11 B, 32-046 Skała";120610;"gm. Skała";"krakowski";"małopolskie";1;1;158;69;6;19
12;"Remiza Ochotniczej Straży Pożarnej w Gołyszynie, Gołyszyn 81, 32-046 Minoga";120610;"gm. Skała";"krakowski";"małopolskie";1;1;83;34;6;18
