"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"TOMASZEWSKI Jan - KW PRAWO I SPRAWIEDLIWOŚĆ";"DUNIN Artur Jerzy - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
171;"Szkoła Podstawowa nr 44 im. prof. Jana Molla, ul. Janusza Kusocińskiego 100, 94-054 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;391;1140
172;"Szkoła Podstawowa nr 6, ul. Janusza Kusocińskiego 116, 94-054 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;386;1003
173;"Szkoła Podstawowa nr 6, ul. Janusza Kusocińskiego 116, 94-054 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;335;1009
174;"Szkoła Podstawowa nr 6, ul. Janusza Kusocińskiego 116, 94-054 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;318;878
175;"Integracyjna Szkoła Podstawowa nr 67 im. Janusza Korczaka, ul. Maratońska 47B, 94-056 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;403;919
176;"Integracyjna Szkoła Podstawowa nr 67 im. Janusza Korczaka (budynek Pałacu Młodzieży), al. Ks. Kardynała Stefana Wyszyńskiego 86, 94-050 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;396;965
177;"Szkoła Podstawowa nr 19, al. Ks. Kardynała Stefana Wyszyńskiego 100, 94-050 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;411;921
178;"Zespół Szkolno-Przedszkolny nr 1, ul. Krzemieniecka 24A, 94-017 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;431;1044
179;"XXVI Liceum Ogólnokształcące im. Krzysztofa Kamila Baczyńskiego, ul. Wileńska 22A, 94-029 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;587;1469
180;"XXVI Liceum Ogólnokształcące im. Krzysztofa Kamila Baczyńskiego, ul. Wileńska 22A, 94-029 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;314;779
181;"Szkoła Podstawowa nr 164 im. Andrzeja Frycza Modrzewskiego, ul. Walerego Wróblewskiego 65, 94-035 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;613;1609
182;"Szkoła Podstawowa nr 137 im. Aleksandra Kamińskiego, ul. Olimpijska 9, 94-043 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;616;1494
183;"Szkoła Podstawowa nr 41 im. Króla Władysława Jagiełły, ul. Rajdowa 18, 94-003 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;322;894
184;"Szkoła Podstawowa nr 41 im. Króla Władysława Jagiełły, ul. Rajdowa 18, 94-003 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;439;1218
185;"Szkoła Podstawowa nr 11 im. Marii Kownackiej, ul. Hufcowa 20A, 94-107 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;340;739
186;"Szkoła Podstawowa nr 11 im. Marii Kownackiej, ul. Hufcowa 20A, 94-107 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;368;909
187;"Łódzkie Stowarzyszenie Oświatowe, ul. Józefa Babickiego 15, 94-056 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;399;964
188;"Szkoła Podstawowa nr 11 im. Marii Kownackiej, ul. Hufcowa 20A, 94-107 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;384;1006
189;"Szkoła Podstawowa nr 137 im. Aleksandra Kamińskiego, ul. Olimpijska 9, 94-043 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;252;703
190;"Przedszkole Miejskie z Oddziałami Integracyjnymi nr 214, ul. Batalionów Chłopskich 21, 94-058 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;332;734
191;"Przedszkole Miejskie z Oddziałami Integracyjnymi nr 214, ul. Batalionów Chłopskich 21, 94-058 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;446;952
192;"Szkoła Podstawowa nr 137 im. prof. Aleksandra Kamińskiego, ul. Florecistów 3B, 94-042 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;625;1630
193;"Przedszkole Miejskie nr 170, ul. Ks. Jerzego Popiełuszki 13A, 94-052 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;365;1675
194;"Spółdzielnia Mieszkaniowa ""Pienista"", ul. Kubusia Puchatka 9, 94-119 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;326;1055
195;"Grupowa Oczyszczalnia Ścieków w Łodzi Sp. z o. o., ul. Sanitariuszek 66, 93-469 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;154;294
196;"Szkoła Podstawowa nr 169 im. Marii Dąbrowskiej, ul. Napoleońska 7/17, 94-231 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;462;1859
197;"Szkoła Podstawowa nr 169 im. Marii Dąbrowskiej, ul. Napoleońska 7/17, 94-231 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;671;1689
198;"Fundacja Navicula Centrum, ul. Krzysztofa Cedry 2, 91-129 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;545;1579
199;"Przedszkole Miejskie nr 207, ul. Piotrkowska 272, 93-005 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;299;902
200;"Szkoła Podstawowa nr 14 im. Józefa Lompy, ul. inż. pilota Wigury 8/10, 90-301 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;260;584
201;"Biblioteka Miejska w Łodzi Filia Nr 47, ul. Brzeźna 10, 90-303 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;334;1529
202;"Szkoła Podstawowa nr 2 im. ks. Jana Twardowskiego, ul. Henryka Sienkiewicza 137/139, 90-302 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;182;430
203;"Szkoła Podstawowa nr 14 im. Józefa Lompy, ul. inż. pilota Wigury 8/10, 90-301 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;272;826
204;"Lokal Rady Osiedla ""Katedralna"", ul. kpt. pilota Żwirki 3, 90-448 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;179;496
205;"Technikum nr 3 w Łodzi, ul. Henryka Sienkiewicza 117, 90-301 Łódź";106101;"m. Łódź";"Łódź";"łódzkie";1;1;144;386
